mmu-miR v.21,Normalized expression in Brain
mmu-miR-346-5p,445.37
mmu-miR-34a-5p,2327.68
mmu-miR-34b-3p,24.91
mmu-miR-34b-5p,45.11
mmu-miR-34c-5p,240.53
mmu-miR-350-3p,2114.91
mmu-miR-351-5p,74.24
mmu-miR-361-5p,1952.76
mmu-miR-362-3p,533.02
mmu-miR-362-5p,261.08
mmu-miR-363-3p,4.92
mmu-miR-363-5p,0.8
mmu-miR-365-3p,91.22
mmu-miR-367-3p,0
mmu-miR-369-3p,7138.78
mmu-miR-369-5p,2644.8
mmu-miR-370-3p,1044.34
mmu-miR-374b-5p,964.04
mmu-miR-375-3p,14.06
mmu-miR-376a-3p,27361.63
mmu-miR-376b-3p,1863.06
mmu-miR-376b-5p,5799.13
mmu-miR-376c-3p,95.19
mmu-miR-377-3p,1369.43
mmu-miR-378a-3p ,2196.94
mmu-miR-379-5p,4805.47
mmu-miR-380-5p ,2528.47
mmu-miR-381-3p,14117.45
mmu-miR-382-3p,3542.33
mmu-miR-382-5p,2652.85
mmu-miR-383-5p,2135.16
mmu-miR-384-3p,2890.79
mmu-miR-384-5p,910.88
mmu-miR-409-3p,306.25
mmu-miR-409-5p,2590.1
mmu-miR-410-3p,8076.8
mmu-miR-411-3p,5685.7
mmu-miR-411-5p,3294.76
mmu-miR-412-3p,40.58
mmu-miR-412-5p,122.74
mmu-miR-421-3p,150.6
mmu-miR-423-3p,218.49
mmu-miR-423-5p,273.98
mmu-miR-425-5p ,1013.69
mmu-miR-429-3p,211.08
mmu-miR-431-5p,1179.32
mmu-miR-433-3p,4530.87
mmu-miR-434-3p,29247.57
mmu-miR-434-5p,4642.9
mmu-miR-448-3p,204.44
mmu-miR-448-5p,146.36
mmu-miR-449a-5p,11.8
mmu-miR-450a-5p,79.59
mmu-miR-450a-2-3p,7.69
mmu-miR-450b-3p,7.73
mmu-miR-450b-5p,11.06
mmu-miR-451a,19452.21
mmu-miR-452-3p,0
mmu-miR-452-5p,0.84
mmu-miR-455-3p,273.31
mmu-miR-455-5p,82.5
mmu-miR-463-5p ,0
mmu-miR-465a-3p ,0
mmu-miR-465b-3p ,0.02
mmu-miR-465c-5p,0
mmu-miR-466a-3p,44.56
mmu-miR-466a-5p,0.84
mmu-miR-466b-5p,6.75
mmu-miR-466c-5p,17.77
mmu-miR-466d-3p,18.52
mmu-miR-466d-5p,7.97
mmu-miR-466f,0.26
mmu-miR-466h-5p,0.68
mmu-miR-466k,0.09
mmu-miR-466l-3p,0
mmu-miR-466l-5p,0.39
mmu-miR-466m-3p,0
mmu-miR-466m-5p,0.01
mmu-miR-466n-3p,1.29
mmu-miR-466o-3p,0.12
mmu-miR-467a-5p ,368.34
mmu-miR-467c-5p,15.22
mmu-miR-467d-5p,49.07
